Current_Time,Event_Name,Event_Scheduled,Event-Time,Idle_Processors,Service_Processors,Queue_Length,Entities_System
28436.351347423395,NEXT_ARRIVAL,28277.19515417872,28436.351347423395,332318.7173224359,23171.55274357853,0,5
28443.182376661982,NEXT_ARRIVAL,28427.665438434364,28443.182376661982,332632.9446674109,23212.53891901005,0,6
28444.51407192367,END_SERVICE,28230.23476265861,28444.51407192367,332692.8709541875,23221.860785841865,0,7
28460.684400235918,NEXT_ARRIVAL,28433.457588097997,28460.684400235918,333436.7060565516,23318.882755715353,0,6
28463.297945561502,END_SERVICE,28358.8384123161,28463.297945561502,333554.3155962029,23337.177572994446,0,7
28465.390788840858,NEXT_ARRIVAL,28357.072277998745,28465.390788840858,333650.5863870534,23349.734632670577,0,6
28472.925362192876,NEXT_ARRIVAL,28460.684400235918,28472.925362192876,333989.64218789444,23402.47664613471,0,7
28519.895231768078,END_SERVICE,28357.072277998745,28519.895231768078,336056.3164492046,23778.23560273632,0,8
28556.090832253343,END_SERVICE,28427.665438434364,28556.090832253343,337685.11847104103,24031.60480613318,0,7
28560.94478626152,NEXT_ARRIVAL,28436.351347423395,28560.94478626152,337908.40035541815,24060.728530182238,0,6
28580.65808794926,END_SERVICE,28436.351347423395,28580.65808794926,338795.4989313662,24198.721641996428,0,7
28585.885253727192,END_SERVICE,28465.390788840858,28585.885253727192,339035.9485571512,24230.084636664014,0,6
28603.297366493807,END_SERVICE,28443.182376661982,28603.297366493807,339854.3178571834,24317.14520049709,0,5
28607.848884247123,NEXT_ARRIVAL,28560.94478626152,28607.848884247123,340072.7907093436,24335.351271510353,0,4
28621.901876191674,END_SERVICE,28472.925362192876,28621.901876191674,340733.281330737,24405.616231233107,0,5
28634.644785291344,NEXT_ARRIVAL,28228.68023939059,28634.644785291344,341344.94096752134,24456.587867631788,0,4
28639.117099960586,END_SERVICE,28460.684400235918,28639.117099960586,341555.139756975,24478.949440977995,0,5
28640.293087497754,END_SERVICE,28560.94478626152,28640.293087497754,341611.5871587603,24483.653391126667,0,4
28653.418625936327,END_SERVICE,28433.457588097997,28653.418625936327,342254.73854224966,24523.030006442386,0,3
28689.633520513093,END_SERVICE,28634.644785291344,28689.633520513093,344065.4832710874,24595.459795595918,0,2
28707.9414443656,NEXT_ARRIVAL,28465.390788840858,28707.9414443656,344999.18738756614,24613.767719448424,0,1
28712.66387109591,NEXT_ARRIVAL,28184.390403862624,28712.66387109591,345235.30872408237,24623.212572909044,0,2
28718.18466367096,END_SERVICE,28607.848884247123,28718.18466367096,345505.8275602588,24639.774950634197,0,3
28741.05511849623,NEXT_ARRIVAL,28230.23476265861,28741.05511849623,346649.3503015231,24685.51586028474,0,2
28811.07248448445,NEXT_ARRIVAL,27709.48504492658,28811.07248448445,350080.20123494626,24895.5679582494,0,3
28858.97207254292,END_SERVICE,28707.9414443656,28858.97207254292,352379.3814617528,25087.16631048328,0,4
28861.815789548527,NEXT_ARRIVAL,28472.925362192876,28861.815789548527,352518.72359502857,25095.697461500098,0,3
28914.183960999915,NEXT_ARRIVAL,28741.05511849623,28914.183960999915,355032.39582469483,25305.17014730565,0,4
28915.505611539083,NEXT_ARRIVAL,28707.9414443656,28915.505611539083,355094.5134000361,25311.77840000149,0,5
28921.289305714196,NEXT_ARRIVAL,28712.66387109591,28921.289305714196,355360.5633320921,25346.480565052163,0,6
28940.65173800662,END_SERVICE,28741.05511849623,28940.65173800662,356231.8727852514,25482.017591099146,0,7
28954.771161628512,END_SERVICE,28712.66387109591,28954.771161628512,356881.36627185956,25566.73413283049,0,6
28975.003927962738,NEXT_ARRIVAL,28915.505611539083,28975.003927962738,357832.306289567,25667.89796450162,0,5
28984.73587055204,END_SERVICE,28915.505611539083,28984.73587055204,358279.9756486738,25726.28962003742,0,6
28996.823314547833,NEXT_ARRIVAL,28861.815789548527,28996.823314547833,358848.085516477,25786.726840016396,0,5
29054.803020096562,END_SERVICE,28861.815789548527,29054.803020096562,361515.15197171853,26134.60507330877,0,6
29059.104518160893,END_SERVICE,28811.07248448445,29059.104518160893,361717.3223807409,26156.112563630424,0,5
29102.96696997905,END_SERVICE,28975.003927962738,29102.96696997905,363822.7200680112,26331.56237090305,0,4
29122.56174612968,END_SERVICE,28914.183960999915,29122.56174612968,364782.86409939325,26390.346699354937,0,3
29140.333638057476,END_SERVICE,28921.289305714196,29140.333638057476,365671.45869578386,26425.890483210533,0,2
29204.582884964737,NEXT_ARRIVAL,28996.823314547833,29204.582884964737,368948.1702880534,26490.139730117793,0,1
29209.302140802974,NEXT_ARRIVAL,28811.07248448445,29209.302140802974,369184.133079966,26499.57824179427,0,2
29232.38229094983,END_SERVICE,28996.823314547833,29232.38229094983,370315.06043716177,26568.818692234836,0,3
29257.84547545409,NEXT_ARRIVAL,28914.183960999915,29257.84547545409,371588.21966237406,26619.745061243357,0,2
29278.964406716314,NEXT_ARRIVAL,28975.003927962738,29278.964406716314,372623.04729422333,26683.101855030025,0,3
29316.888706758724,NEXT_ARRIVAL,29257.84547545409,29316.888706758724,374443.413696258,26834.799055199666,0,4
29338.37542335005,END_SERVICE,29316.888706758724,29338.37542335005,375453.2893760512,26942.232638156303,0,5
29431.346373498716,NEXT_ARRIVAL,28634.644785291344,29431.346373498716,379915.89498318644,27314.116438750963,0,4
